pokemon,url,pokedex_num,elem_1,elem_2,species,height_meters,weight_kg,male,female,hp,attack,defense,sp_atk,sp_def,speed,total
Amoonguss,https://pokemondb.net/pokedex/amoonguss,0591,Grass,Poison,Mushroom Pokémon,0.6,10.5,50,50,114,85,70,85,80,30,464
Frillish,https://pokemondb.net/pokedex/frillish,0592,Water,Ghost,Floating Pokémon,1.2,33,50,50,55,40,50,65,85,40,335
Jellicent,https://pokemondb.net/pokedex/jellicent,0593,Water,Ghost,Floating Pokémon,2.2,135,50,50,100,60,70,85,105,60,480
Alomomola,https://pokemondb.net/pokedex/alomomola,0594,Water,,Caring Pokémon,1.2,31.6,50,50,165,75,80,40,45,65,470
Joltik,https://pokemondb.net/pokedex/joltik,0595,Bug,Electric,Attaching Pokémon,0.1,0.6,50,50,50,47,50,57,50,65,319
Galvantula,https://pokemondb.net/pokedex/galvantula,0596,Bug,Electric,EleSpider Pokémon,0.8,14.3,50,50,70,77,60,97,60,108,472
Ferroseed,https://pokemondb.net/pokedex/ferroseed,0597,Grass,Steel,Thorn Seed Pokémon,0.6,18.8,50,50,44,50,91,24,86,10,305
Ferrothorn,https://pokemondb.net/pokedex/ferrothorn,0598,Grass,Steel,Thorn Pod Pokémon,1,110,50,50,74,94,131,54,116,20,489
Klink,https://pokemondb.net/pokedex/klink,0599,Steel,,Gear Pokémon,0.3,21,0,0,40,55,70,45,60,30,300
Klang,https://pokemondb.net/pokedex/klang,0600,Steel,,Gear Pokémon,0.6,51,0,0,60,80,95,70,85,50,440
Klinklang,https://pokemondb.net/pokedex/klinklang,0601,Steel,,Gear Pokémon,0.6,81,0,0,60,100,115,70,85,90,520
Tynamo,https://pokemondb.net/pokedex/tynamo,0602,Electric,,EleFish Pokémon,0.2,0.3,50,50,35,55,40,45,40,60,275
Eelektrik,https://pokemondb.net/pokedex/eelektrik,0603,Electric,,EleFish Pokémon,1.2,22,50,50,65,85,70,75,70,40,405
Eelektross,https://pokemondb.net/pokedex/eelektross,0604,Electric,,EleFish Pokémon,2.1,80.5,50,50,85,115,80,105,80,50,515
Elgyem,https://pokemondb.net/pokedex/elgyem,0605,Psychic,,Cerebral Pokémon,0.5,9,50,50,55,55,55,85,55,30,335
Beheeyem,https://pokemondb.net/pokedex/beheeyem,0606,Psychic,,Cerebral Pokémon,1,34.5,50,50,75,75,75,125,95,40,485
Litwick,https://pokemondb.net/pokedex/litwick,0607,Ghost,Fire,Candle Pokémon,0.3,3.1,50,50,50,30,55,65,55,20,275
Lampent,https://pokemondb.net/pokedex/lampent,0608,Ghost,Fire,Lamp Pokémon,0.6,13,50,50,60,40,60,95,60,55,370
Chandelure,https://pokemondb.net/pokedex/chandelure,0609,Ghost,Fire,Luring Pokémon,1,34.3,50,50,60,55,90,145,90,80,520
Axew,https://pokemondb.net/pokedex/axew,0610,Dragon,,Tusk Pokémon,0.6,18,50,50,46,87,60,30,40,57,320
Fraxure,https://pokemondb.net/pokedex/fraxure,0611,Dragon,,Axe Jaw Pokémon,1,36,50,50,66,117,70,40,50,67,410
Haxorus,https://pokemondb.net/pokedex/haxorus,0612,Dragon,,Axe Jaw Pokémon,1.8,105.5,50,50,76,147,90,60,70,97,540
Cubchoo,https://pokemondb.net/pokedex/cubchoo,0613,Ice,,Chill Pokémon,0.5,8.5,50,50,55,70,40,60,40,40,305
Beartic,https://pokemondb.net/pokedex/beartic,0614,Ice,,Freezing Pokémon,2.6,260,50,50,95,130,80,70,80,50,505
Cryogonal,https://pokemondb.net/pokedex/cryogonal,0615,Ice,,Crystallizing Pokémon,1.1,148,0,0,80,50,50,95,135,105,515
Shelmet,https://pokemondb.net/pokedex/shelmet,0616,Bug,,Snail Pokémon,0.4,7.7,50,50,50,40,85,40,65,25,305
Accelgor,https://pokemondb.net/pokedex/accelgor,0617,Bug,,Shell Out Pokémon,0.8,25.3,50,50,80,70,40,100,60,145,495
Stunfisk,https://pokemondb.net/pokedex/stunfisk,0618,Ground,Electric,Trap Pokémon,0.7,11,50,50,109,66,84,81,99,32,471
Mienfoo,https://pokemondb.net/pokedex/mienfoo,0619,Fighting,,Martial Arts Pokémon,0.9,20,50,50,45,85,50,55,50,65,350
Mienshao,https://pokemondb.net/pokedex/mienshao,0620,Fighting,,Martial Arts Pokémon,1.4,35.5,50,50,65,125,60,95,60,105,510
Druddigon,https://pokemondb.net/pokedex/druddigon,0621,Dragon,,Cave Pokémon,1.6,139,50,50,77,120,90,60,90,48,485
Golett,https://pokemondb.net/pokedex/golett,0622,Ground,Ghost,Automaton Pokémon,1,92,0,0,59,74,50,35,50,35,303
Golurk,https://pokemondb.net/pokedex/golurk,0623,Ground,Ghost,Automaton Pokémon,2.8,330,0,0,89,124,80,55,80,55,483
Pawniard,https://pokemondb.net/pokedex/pawniard,0624,Dark,Steel,Sharp Blade Pokémon,0.5,10.2,50,50,45,85,70,40,40,60,340
Bisharp,https://pokemondb.net/pokedex/bisharp,0625,Dark,Steel,Sword Blade Pokémon,1.6,70,50,50,65,125,100,60,70,70,490
Bouffalant,https://pokemondb.net/pokedex/bouffalant,0626,Normal,,Bash Buffalo Pokémon,1.6,94.6,50,50,95,110,95,40,95,55,490
Rufflet,https://pokemondb.net/pokedex/rufflet,0627,Normal,Flying,Eaglet Pokémon,0.5,10.5,100,0,70,83,50,37,50,60,350
Braviary,https://pokemondb.net/pokedex/braviary,0628,Normal,Flying,Valiant Pokémon,1.5,41,100,0,100,123,75,57,75,80,510
Vullaby,https://pokemondb.net/pokedex/vullaby,0629,Dark,Flying,Diapered Pokémon,0.5,9,0,100,70,55,75,45,65,60,370
Mandibuzz,https://pokemondb.net/pokedex/mandibuzz,0630,Dark,Flying,Bone Vulture Pokémon,1.2,39.5,0,100,110,65,105,55,95,80,510
Heatmor,https://pokemondb.net/pokedex/heatmor,0631,Fire,,Anteater Pokémon,1.4,58,50,50,85,97,66,105,66,65,484
Durant,https://pokemondb.net/pokedex/durant,0632,Bug,Steel,Iron Ant Pokémon,0.3,33,50,50,58,109,112,48,48,109,484
Deino,https://pokemondb.net/pokedex/deino,0633,Dark,Dragon,Irate Pokémon,0.8,17.3,50,50,52,65,50,45,50,38,300
Zweilous,https://pokemondb.net/pokedex/zweilous,0634,Dark,Dragon,Hostile Pokémon,1.4,50,50,50,72,85,70,65,70,58,420
Hydreigon,https://pokemondb.net/pokedex/hydreigon,0635,Dark,Dragon,Brutal Pokémon,1.8,160,50,50,92,105,90,125,90,98,600
Larvesta,https://pokemondb.net/pokedex/larvesta,0636,Bug,Fire,Torch Pokémon,1.1,28.8,50,50,55,85,55,50,55,60,360
Volcarona,https://pokemondb.net/pokedex/volcarona,0637,Bug,Fire,Sun Pokémon,1.6,46,50,50,85,60,65,135,105,100,550
Cobalion,https://pokemondb.net/pokedex/cobalion,0638,Steel,Fighting,Iron Will Pokémon,2.1,250,0,0,91,90,129,90,72,108,580
Terrakion,https://pokemondb.net/pokedex/terrakion,0639,Rock,Fighting,Cavern Pokémon,1.9,260,0,0,91,129,90,72,90,108,580
Virizion,https://pokemondb.net/pokedex/virizion,0640,Grass,Fighting,Grassland Pokémon,2,200,0,0,91,90,72,90,129,108,580
Tornadus,https://pokemondb.net/pokedex/tornadus,0641,Flying,,Cyclone Pokémon,1.5,63,100,0,79,115,70,125,80,111,580
Thundurus,https://pokemondb.net/pokedex/thundurus,0642,Electric,Flying,Bolt Strike Pokémon,1.5,61,100,0,79,115,70,125,80,111,580
Reshiram,https://pokemondb.net/pokedex/reshiram,0643,Dragon,Fire,Vast White Pokémon,3.2,330,0,0,100,120,100,150,120,90,680
Zekrom,https://pokemondb.net/pokedex/zekrom,0644,Dragon,Electric,Deep Black Pokémon,2.9,345,0,0,100,150,120,120,100,90,680
Landorus,https://pokemondb.net/pokedex/landorus,0645,Ground,Flying,Abundance Pokémon,1.5,68,100,0,89,125,90,115,80,101,600
Kyurem,https://pokemondb.net/pokedex/kyurem,0646,Dragon,Ice,Boundary Pokémon,3,325,0,0,125,130,90,130,90,95,660
Keldeo,https://pokemondb.net/pokedex/keldeo,0647,Water,Fighting,Colt Pokémon,1.4,48.5,0,0,91,72,90,129,90,108,580
Meloetta,https://pokemondb.net/pokedex/meloetta,0648,Normal,Psychic,Melody Pokémon,0.6,6.5,0,0,100,77,77,128,128,90,600
Genesect,https://pokemondb.net/pokedex/genesect,0649,Bug,Steel,Paleozoic Pokémon,1.5,82.5,0,0,71,120,95,120,95,99,600
Chespin,https://pokemondb.net/pokedex/chespin,0650,Grass,,Spiny Nut Pokémon,0.4,9,87.5,12.5,56,61,65,48,45,38,313
Quilladin,https://pokemondb.net/pokedex/quilladin,0651,Grass,,Spiny Armor Pokémon,0.7,29,87.5,12.5,61,78,95,56,58,57,405
Chesnaught,https://pokemondb.net/pokedex/chesnaught,0652,Grass,Fighting,Spiny Armor Pokémon,1.6,90,87.5,12.5,88,107,122,74,75,64,530
Fennekin,https://pokemondb.net/pokedex/fennekin,0653,Fire,,Fox Pokémon,0.4,9.4,87.5,12.5,40,45,40,62,60,60,307
Braixen,https://pokemondb.net/pokedex/braixen,0654,Fire,,Fox Pokémon,1,14.5,87.5,12.5,59,59,58,90,70,73,409
Delphox,https://pokemondb.net/pokedex/delphox,0655,Fire,Psychic,Fox Pokémon,1.5,39,87.5,12.5,75,69,72,114,100,104,534
Froakie,https://pokemondb.net/pokedex/froakie,0656,Water,,Bubble Frog Pokémon,0.3,7,87.5,12.5,41,56,40,62,44,71,314
Frogadier,https://pokemondb.net/pokedex/frogadier,0657,Water,,Bubble Frog Pokémon,0.6,10.9,87.5,12.5,54,63,52,83,56,97,405
Greninja,https://pokemondb.net/pokedex/greninja,0658,Water,Dark,Ninja Pokémon,1.5,40,87.5,12.5,72,95,67,103,71,122,530
Bunnelby,https://pokemondb.net/pokedex/bunnelby,0659,Normal,,Digging Pokémon,0.4,5,50,50,38,36,38,32,36,57,237
Diggersby,https://pokemondb.net/pokedex/diggersby,0660,Normal,Ground,Digging Pokémon,1,42.4,50,50,85,56,77,50,77,78,423
Fletchling,https://pokemondb.net/pokedex/fletchling,0661,Normal,Flying,Tiny Robin Pokémon,0.3,1.7,50,50,45,50,43,40,38,62,278
Fletchinder,https://pokemondb.net/pokedex/fletchinder,0662,Fire,Flying,Ember Pokémon,0.7,16,50,50,62,73,55,56,52,84,382
Talonflame,https://pokemondb.net/pokedex/talonflame,0663,Fire,Flying,Scorching Pokémon,1.2,24.5,50,50,78,81,71,74,69,126,499
Scatterbug,https://pokemondb.net/pokedex/scatterbug,0664,Bug,,Scatterdust Pokémon,0.3,2.5,50,50,38,35,40,27,25,35,200
Spewpa,https://pokemondb.net/pokedex/spewpa,0665,Bug,,Scatterdust Pokémon,0.3,8.4,50,50,45,22,60,27,30,29,213
Vivillon,https://pokemondb.net/pokedex/vivillon,0666,Bug,Flying,Scale Pokémon,1.2,17,50,50,80,52,50,90,50,89,411
Litleo,https://pokemondb.net/pokedex/litleo,0667,Fire,Normal,Lion Cub Pokémon,0.6,13.5,12.5,87.5,62,50,58,73,54,72,369
Pyroar,https://pokemondb.net/pokedex/pyroar,0668,Fire,Normal,Royal Pokémon,1.5,81.5,12.5,87.5,86,68,72,109,66,106,507
Flabébé,https://pokemondb.net/pokedex/flabebe,0669,Fairy,,Single Bloom Pokémon,0.1,0.1,0,100,44,38,39,61,79,42,303
Floette,https://pokemondb.net/pokedex/floette,0670,Fairy,,Single Bloom Pokémon,0.2,0.9,0,100,54,45,47,75,98,52,371
Florges,https://pokemondb.net/pokedex/florges,0671,Fairy,,Garden Pokémon,1.1,10,0,100,78,65,68,112,154,75,552
Skiddo,https://pokemondb.net/pokedex/skiddo,0672,Grass,,Mount Pokémon,0.9,31,50,50,66,65,48,62,57,52,350
Gogoat,https://pokemondb.net/pokedex/gogoat,0673,Grass,,Mount Pokémon,1.7,91,50,50,123,100,62,97,81,68,531
Pancham,https://pokemondb.net/pokedex/pancham,0674,Fighting,,Playful Pokémon,0.6,8,50,50,67,82,62,46,48,43,348
Pangoro,https://pokemondb.net/pokedex/pangoro,0675,Fighting,Dark,Daunting Pokémon,2.1,136,50,50,95,124,78,69,71,58,495
Furfrou,https://pokemondb.net/pokedex/furfrou,0676,Normal,,Poodle Pokémon,1.2,28,50,50,75,80,60,65,90,102,472
Espurr,https://pokemondb.net/pokedex/espurr,0677,Psychic,,Restraint Pokémon,0.3,3.5,50,50,62,48,54,63,60,68,355
Meowstic,https://pokemondb.net/pokedex/meowstic,0678,Psychic,,Constraint Pokémon,0.6,8.5,100,0,74,48,76,83,81,104,466
Honedge,https://pokemondb.net/pokedex/honedge,0679,Steel,Ghost,Sword Pokémon,0.8,2,50,50,45,80,100,35,37,28,325
Doublade,https://pokemondb.net/pokedex/doublade,0680,Steel,Ghost,Sword Pokémon,0.8,4.5,50,50,59,110,150,45,49,35,448
Aegislash,https://pokemondb.net/pokedex/aegislash,0681,Steel,Ghost,Royal Sword Pokémon,1.7,53,50,50,60,50,140,50,140,60,500
Spritzee,https://pokemondb.net/pokedex/spritzee,0682,Fairy,,Perfume Pokémon,0.2,0.5,50,50,78,52,60,63,65,23,341
Aromatisse,https://pokemondb.net/pokedex/aromatisse,0683,Fairy,,Fragrance Pokémon,0.8,15.5,50,50,101,72,72,99,89,29,462
Swirlix,https://pokemondb.net/pokedex/swirlix,0684,Fairy,,Cotton Candy Pokémon,0.4,3.5,50,50,62,48,66,59,57,49,341
Slurpuff,https://pokemondb.net/pokedex/slurpuff,0685,Fairy,,Meringue Pokémon,0.8,5,50,50,82,80,86,85,75,72,480
Inkay,https://pokemondb.net/pokedex/inkay,0686,Dark,Psychic,Revolving Pokémon,0.4,3.5,50,50,53,54,53,37,46,45,288
Malamar,https://pokemondb.net/pokedex/malamar,0687,Dark,Psychic,Overturning Pokémon,1.5,47,50,50,86,92,88,68,75,73,482
Binacle,https://pokemondb.net/pokedex/binacle,0688,Rock,Water,Two-Handed Pokémon,0.5,31,50,50,42,52,67,39,56,50,306
Barbaracle,https://pokemondb.net/pokedex/barbaracle,0689,Rock,Water,Collective Pokémon,1.3,96,50,50,72,105,115,54,86,68,500
Skrelp,https://pokemondb.net/pokedex/skrelp,0690,Poison,Water,Mock Kelp Pokémon,0.5,7.3,50,50,50,60,60,60,60,30,320
Dragalge,https://pokemondb.net/pokedex/dragalge,0691,Poison,Dragon,Mock Kelp Pokémon,1.8,81.5,50,50,65,75,90,97,123,44,494
Clauncher,https://pokemondb.net/pokedex/clauncher,0692,Water,,Water Gun Pokémon,0.5,8.3,50,50,50,53,62,58,63,44,330
Clawitzer,https://pokemondb.net/pokedex/clawitzer,0693,Water,,Howitzer Pokémon,1.3,35.3,50,50,71,73,88,120,89,59,500
Helioptile,https://pokemondb.net/pokedex/helioptile,0694,Electric,Normal,Generator Pokémon,0.5,6,50,50,44,38,33,61,43,70,289
Heliolisk,https://pokemondb.net/pokedex/heliolisk,0695,Electric,Normal,Generator Pokémon,1,21,50,50,62,55,52,109,94,109,481
Tyrunt,https://pokemondb.net/pokedex/tyrunt,0696,Rock,Dragon,Royal Heir Pokémon,0.8,26,87.5,12.5,58,89,77,45,45,48,362
Tyrantrum,https://pokemondb.net/pokedex/tyrantrum,0697,Rock,Dragon,Despot Pokémon,2.5,270,87.5,12.5,82,121,119,69,59,71,521
Amaura,https://pokemondb.net/pokedex/amaura,0698,Rock,Ice,Tundra Pokémon,1.3,25.2,87.5,12.5,77,59,50,67,63,46,362
Aurorus,https://pokemondb.net/pokedex/aurorus,0699,Rock,Ice,Tundra Pokémon,2.7,225,87.5,12.5,123,77,72,99,92,58,521
Sylveon,https://pokemondb.net/pokedex/sylveon,0700,Fairy,,Intertwining Pokémon,1,23.5,87.5,12.5,95,65,65,110,130,60,525
Hawlucha,https://pokemondb.net/pokedex/hawlucha,0701,Fighting,Flying,Wrestling Pokémon,0.8,21.5,50,50,78,92,75,74,63,118,500
Dedenne,https://pokemondb.net/pokedex/dedenne,0702,Electric,Fairy,Antenna Pokémon,0.2,2.2,50,50,67,58,57,81,67,101,431
Carbink,https://pokemondb.net/pokedex/carbink,0703,Rock,Fairy,Jewel Pokémon,0.3,5.7,0,0,50,50,150,50,150,50,500
Goomy,https://pokemondb.net/pokedex/goomy,0704,Dragon,,Soft Tissue Pokémon,0.3,2.8,50,50,45,50,35,55,75,40,300
Sliggoo,https://pokemondb.net/pokedex/sliggoo,0705,Dragon,,Soft Tissue Pokémon,0.8,17.5,50,50,68,75,53,83,113,60,452
Goodra,https://pokemondb.net/pokedex/goodra,0706,Dragon,,Dragon Pokémon,2,150.5,50,50,90,100,70,110,150,80,600
Klefki,https://pokemondb.net/pokedex/klefki,0707,Steel,Fairy,Key Ring Pokémon,0.2,3,50,50,57,80,91,80,87,75,470
Phantump,https://pokemondb.net/pokedex/phantump,0708,Ghost,Grass,Stump Pokémon,0.4,7,50,50,43,70,48,50,60,38,309
Trevenant,https://pokemondb.net/pokedex/trevenant,0709,Ghost,Grass,Elder Tree Pokémon,1.5,71,50,50,85,110,76,65,82,56,474
Pumpkaboo,https://pokemondb.net/pokedex/pumpkaboo,0710,Ghost,Grass,Pumpkin Pokémon,0.4,5,50,50,49,66,70,44,55,51,335
Gourgeist,https://pokemondb.net/pokedex/gourgeist,0711,Ghost,Grass,Pumpkin Pokémon,0.9,12.5,50,50,65,90,122,58,75,84,494
Bergmite,https://pokemondb.net/pokedex/bergmite,0712,Ice,,Ice Chunk Pokémon,1,99.5,50,50,55,69,85,32,35,28,304
Avalugg,https://pokemondb.net/pokedex/avalugg,0713,Ice,,Iceberg Pokémon,2,505,50,50,95,117,184,44,46,28,514
Noibat,https://pokemondb.net/pokedex/noibat,0714,Flying,Dragon,Sound Wave Pokémon,0.5,8,50,50,40,30,35,45,40,55,245
Noivern,https://pokemondb.net/pokedex/noivern,0715,Flying,Dragon,Sound Wave Pokémon,1.5,85,50,50,85,70,80,97,80,123,535
Xerneas,https://pokemondb.net/pokedex/xerneas,0716,Fairy,,Life Pokémon,3,215,0,0,126,131,95,131,98,99,680
Yveltal,https://pokemondb.net/pokedex/yveltal,0717,Dark,Flying,Destruction Pokémon,5.8,203,0,0,126,131,95,131,98,99,680
Zygarde,https://pokemondb.net/pokedex/zygarde,0718,Dragon,Ground,Order Pokémon,5,305,0,0,108,100,121,81,95,95,600
Diancie,https://pokemondb.net/pokedex/diancie,0719,Rock,Fairy,Jewel Pokémon,0.7,8.8,0,0,50,100,150,100,150,50,600
Hoopa,https://pokemondb.net/pokedex/hoopa,0720,Psychic,Ghost,Mischief Pokémon,0.5,9,0,0,80,110,60,150,130,70,600
Volcanion,https://pokemondb.net/pokedex/volcanion,0721,Fire,Water,Steam Pokémon,1.7,195,0,0,80,110,120,130,90,70,600
Rowlet,https://pokemondb.net/pokedex/rowlet,0722,Grass,Flying,Grass Quill Pokémon,0.3,1.5,87.5,12.5,68,55,55,50,50,42,320
Dartrix,https://pokemondb.net/pokedex/dartrix,0723,Grass,Flying,Blade Quill Pokémon,0.7,16,87.5,12.5,78,75,75,70,70,52,420
Decidueye,https://pokemondb.net/pokedex/decidueye,0724,Grass,Ghost,Arrow Quill Pokémon,1.6,36.6,87.5,12.5,78,107,75,100,100,70,530
Litten,https://pokemondb.net/pokedex/litten,0725,Fire,,Fire Cat Pokémon,0.4,4.3,87.5,12.5,45,65,40,60,40,70,320
Torracat,https://pokemondb.net/pokedex/torracat,0726,Fire,,Fire Cat Pokémon,0.7,25,87.5,12.5,65,85,50,80,50,90,420
Incineroar,https://pokemondb.net/pokedex/incineroar,0727,Fire,Dark,Heel Pokémon,1.8,83,87.5,12.5,95,115,90,80,90,60,530
Popplio,https://pokemondb.net/pokedex/popplio,0728,Water,,Sea Lion Pokémon,0.4,7.5,87.5,12.5,50,54,54,66,56,40,320
Brionne,https://pokemondb.net/pokedex/brionne,0729,Water,,Pop Star Pokémon,0.6,17.5,87.5,12.5,60,69,69,91,81,50,420
Primarina,https://pokemondb.net/pokedex/primarina,0730,Water,Fairy,Soloist Pokémon,1.8,44,87.5,12.5,80,74,74,126,116,60,530
Pikipek,https://pokemondb.net/pokedex/pikipek,0731,Normal,Flying,Woodpecker Pokémon,0.3,1.2,50,50,35,75,30,30,30,65,265
Trumbeak,https://pokemondb.net/pokedex/trumbeak,0732,Normal,Flying,Bugle Beak Pokémon,0.6,14.8,50,50,55,85,50,40,50,75,355
Toucannon,https://pokemondb.net/pokedex/toucannon,0733,Normal,Flying,Cannon Pokémon,1.1,26,50,50,80,120,75,75,75,60,485
Yungoos,https://pokemondb.net/pokedex/yungoos,0734,Normal,,Loitering Pokémon,0.4,6,50,50,48,70,30,30,30,45,253
Gumshoos,https://pokemondb.net/pokedex/gumshoos,0735,Normal,,Stakeout Pokémon,0.7,14.2,50,50,88,110,60,55,60,45,418
Grubbin,https://pokemondb.net/pokedex/grubbin,0736,Bug,,Larva Pokémon,0.4,4.4,50,50,47,62,45,55,45,46,300
Charjabug,https://pokemondb.net/pokedex/charjabug,0737,Bug,Electric,Battery Pokémon,0.5,10.5,50,50,57,82,95,55,75,36,400
Vikavolt,https://pokemondb.net/pokedex/vikavolt,0738,Bug,Electric,Stag Beetle Pokémon,1.5,45,50,50,77,70,90,145,75,43,500
Crabrawler,https://pokemondb.net/pokedex/crabrawler,0739,Fighting,,Boxing Pokémon,0.6,7,50,50,47,82,57,42,47,63,338
Crabominable,https://pokemondb.net/pokedex/crabominable,0740,Fighting,Ice,Woolly Crab Pokémon,1.7,180,50,50,97,132,77,62,67,43,478
Oricorio,https://pokemondb.net/pokedex/oricorio,0741,Fire,Flying,Dancing Pokémon,0.6,3.4,25,75,75,70,70,98,70,93,476
Cutiefly,https://pokemondb.net/pokedex/cutiefly,0742,Bug,Fairy,Bee Fly Pokémon,0.1,0.2,50,50,40,45,40,55,40,84,304
Ribombee,https://pokemondb.net/pokedex/ribombee,0743,Bug,Fairy,Bee Fly Pokémon,0.2,0.5,50,50,60,55,60,95,70,124,464
Rockruff,https://pokemondb.net/pokedex/rockruff,0744,Rock,,Puppy Pokémon,0.5,9.2,50,50,45,65,40,30,40,60,280
Lycanroc,https://pokemondb.net/pokedex/lycanroc,0745,Rock,,Wolf Pokémon,0.8,25,50,50,75,115,65,55,65,112,487
Wishiwashi,https://pokemondb.net/pokedex/wishiwashi,0746,Water,,Small Fry Pokémon,0.2,0.3,50,50,45,20,20,25,25,40,175
Mareanie,https://pokemondb.net/pokedex/mareanie,0747,Poison,Water,Brutal Star Pokémon,0.4,8,50,50,50,53,62,43,52,45,305
Toxapex,https://pokemondb.net/pokedex/toxapex,0748,Poison,Water,Brutal Star Pokémon,0.7,14.5,50,50,50,63,152,53,142,35,495
Mudbray,https://pokemondb.net/pokedex/mudbray,0749,Ground,,Donkey Pokémon,1,110,50,50,70,100,70,45,55,45,385
Mudsdale,https://pokemondb.net/pokedex/mudsdale,0750,Ground,,Draft Horse Pokémon,2.5,920,50,50,100,125,100,55,85,35,500
Dewpider,https://pokemondb.net/pokedex/dewpider,0751,Water,Bug,Water Bubble Pokémon,0.3,4,50,50,38,40,52,40,72,27,269
Araquanid,https://pokemondb.net/pokedex/araquanid,0752,Water,Bug,Water Bubble Pokémon,1.8,82,50,50,68,70,92,50,132,42,454
Fomantis,https://pokemondb.net/pokedex/fomantis,0753,Grass,,Sickle Grass Pokémon,0.3,1.5,50,50,40,55,35,50,35,35,250
Lurantis,https://pokemondb.net/pokedex/lurantis,0754,Grass,,Bloom Sickle Pokémon,0.9,18.5,50,50,70,105,90,80,90,45,480
Morelull,https://pokemondb.net/pokedex/morelull,0755,Grass,Fairy,Illuminating Pokémon,0.2,1.5,50,50,40,35,55,65,75,15,285
Shiinotic,https://pokemondb.net/pokedex/shiinotic,0756,Grass,Fairy,Illuminating Pokémon,1,11.5,50,50,60,45,80,90,100,30,405
Salandit,https://pokemondb.net/pokedex/salandit,0757,Poison,Fire,Toxic Lizard Pokémon,0.6,4.8,87.5,12.5,48,44,40,71,40,77,320
Salazzle,https://pokemondb.net/pokedex/salazzle,0758,Poison,Fire,Toxic Lizard Pokémon,1.2,22.2,0,100,68,64,60,111,60,117,480
Stufful,https://pokemondb.net/pokedex/stufful,0759,Normal,Fighting,Flailing Pokémon,0.5,6.8,50,50,70,75,50,45,50,50,340
Bewear,https://pokemondb.net/pokedex/bewear,0760,Normal,Fighting,Strong Arm Pokémon,2.1,135,50,50,120,125,80,55,60,60,500
Bounsweet,https://pokemondb.net/pokedex/bounsweet,0761,Grass,,Fruit Pokémon,0.3,3.2,0,100,42,30,38,30,38,32,210
Steenee,https://pokemondb.net/pokedex/steenee,0762,Grass,,Fruit Pokémon,0.7,8.2,0,100,52,40,48,40,48,62,290
Tsareena,https://pokemondb.net/pokedex/tsareena,0763,Grass,,Fruit Pokémon,1.2,21.4,0,100,72,120,98,50,98,72,510
Comfey,https://pokemondb.net/pokedex/comfey,0764,Fairy,,Posy Picker Pokémon,0.1,0.3,25,75,51,52,90,82,110,100,485
Oranguru,https://pokemondb.net/pokedex/oranguru,0765,Normal,Psychic,Sage Pokémon,1.5,76,50,50,90,60,80,90,110,60,490
Passimian,https://pokemondb.net/pokedex/passimian,0766,Fighting,,Teamwork Pokémon,2,82.8,50,50,100,120,90,40,60,80,490
Wimpod,https://pokemondb.net/pokedex/wimpod,0767,Bug,Water,Turn Tail Pokémon,0.5,12,50,50,25,35,40,20,30,80,230
Golisopod,https://pokemondb.net/pokedex/golisopod,0768,Bug,Water,Hard Scale Pokémon,2,108,50,50,75,125,140,60,90,40,530
Sandygast,https://pokemondb.net/pokedex/sandygast,0769,Ghost,Ground,Sand Heap Pokémon,0.5,70,50,50,55,55,80,70,45,15,320
Palossand,https://pokemondb.net/pokedex/palossand,0770,Ghost,Ground,Sand Castle Pokémon,1.3,250,50,50,85,75,110,100,75,35,480
Pyukumuku,https://pokemondb.net/pokedex/pyukumuku,0771,Water,,Sea Cucumber Pokémon,0.3,1.2,50,50,55,60,130,30,130,5,410
Type: Null,https://pokemondb.net/pokedex/type-null,0772,Normal,,Synthetic Pokémon,1.9,120.5,0,0,95,95,95,95,95,59,534
Silvally,https://pokemondb.net/pokedex/silvally,0773,Normal,,Synthetic Pokémon,2.3,100.5,0,0,95,95,95,95,95,95,570
Minior,https://pokemondb.net/pokedex/minior,0774,Rock,Flying,Meteor Pokémon,0.3,40,0,0,60,60,100,60,100,60,440
Komala,https://pokemondb.net/pokedex/komala,0775,Normal,,Drowsing Pokémon,0.4,19.9,50,50,65,115,65,75,95,65,480
Turtonator,https://pokemondb.net/pokedex/turtonator,0776,Fire,Dragon,Blast Turtle Pokémon,2,212,50,50,60,78,135,91,85,36,485
Togedemaru,https://pokemondb.net/pokedex/togedemaru,0777,Electric,Steel,Roly-Poly Pokémon,0.3,3.3,50,50,65,98,63,40,73,96,435
Mimikyu,https://pokemondb.net/pokedex/mimikyu,0778,Ghost,Fairy,Disguise Pokémon,0.2,0.7,50,50,55,90,80,50,105,96,476
Bruxish,https://pokemondb.net/pokedex/bruxish,0779,Water,Psychic,Gnash Teeth Pokémon,0.9,19,50,50,68,105,70,70,70,92,475
Drampa,https://pokemondb.net/pokedex/drampa,0780,Normal,Dragon,Placid Pokémon,3,185,50,50,78,60,85,135,91,36,485
Dhelmise,https://pokemondb.net/pokedex/dhelmise,0781,Ghost,Grass,Sea Creeper Pokémon,3.9,210,0,0,70,131,100,86,90,40,517
Jangmo-o,https://pokemondb.net/pokedex/jangmo-o,0782,Dragon,,Scaly Pokémon,0.6,29.7,50,50,45,55,65,45,45,45,300
Hakamo-o,https://pokemondb.net/pokedex/hakamo-o,0783,Dragon,Fighting,Scaly Pokémon,1.2,47,50,50,55,75,90,65,70,65,420
